IMG_FNAME;IDX_POLY;ID_POLY;SATELITE;BEAM_MODE;RESULT_BASENAME;COMPOSITE_BASENAME;TARGET_TILE_WIDTH;TARGET_TILE_HEIGHT;CLIPPED_WIDTH;CLIPPED_HEIGHT;GRID_COLS;GRID_ROWS;COMPOSITE_WIDTH;COMPOSITE_HEIGHT;PAD_LEFT;PAD_RIGHT;PAD_TOP;PAD_BOTTOM;IS_COMPOSITE;PANEL_INDEX;PANEL_ROW;PANEL_COL;PANEL_COUNT;POLYS_IN_PANEL;POLYS_IN_GROUP;CENTR_KM_LAT;CENTR_KM_LON;UTM_ZONE;AREA_KM2;PERIM_KM;COMPLEX_MEAS;SPREAD;SHP_FACT;HU_MOM1;HU_MOM2;HU_MOM3;HU_MOM4;HU_MOM5;HU_MOM6;HU_MOM7;CIRCULARITY;PERI_AREA_RATIO;FG_STD;FG_VAR;FG_MIN;FG_MAX;FG_MEAN;FG_MEDIAN;FG_VAR_COEF;BG_STD;BG_VAR;BG_MIN;BG_MAX;BG_MEAN;BG_MEDIAN;BG_VAR_COEF;FG_DARK_INTENS;FG_BG_KS_STAT;FG_BG_KS_RES;FG_BG_MW_STAT;FG_BG_MW_RES;FG_BG_RAT_ARI;FG_BG_RAT_QUA;AREA_KM_DS;PERIM_KM_DS;CLASSE
01 S1A_IW_GRDH_1SDV_20200117T001541_NR_Orb_Cal_TC.tif;0;OS03000GXS1;SENTINEL-1;IW;IMG_01_TILE_001;IMG_01_TILE_001;800;600;800;600;1;1;800;600;0;0;0;0;0;1;1;1;2;1;1;19.378354518621077;-92.03514190820675;15Q;1.3408266240441802;29.890669524289763;666.3442600173679;1.3618420730654393;53.02599139133764;3.138915614379714;7.360095872241463;14.224847249892898;13.41550053933642;-27.36116389799025;-17.356928976901994;27.41447937333959;0.0188586761654278;22.29271778191128;2.9901980951674814;8.941284648343235;-42.60891;-14.511311;-21.022541270285394;-20.677155;-0.1422377084065482;2.6724709020304447;7.142100722199419;-48.533997;6.0253806;-16.96172347079402;-16.850065;-0.1575589241642871;4.060817799491375;0.5642542097771868;DIFF;58081120.0;DIFF;0.80683506;0.80864924;1.34082662404;29.8906695243;SEEPAGE SLICK
01 S1A_IW_GRDH_1SDV_20200117T001541_NR_Orb_Cal_TC.tif;1;SP00100GXS1;SENTINEL-1;IW;IMG_01_TILE_002;IMG_01_TILE_002;800;600;800;600;1;1;800;600;0;0;0;0;0;2;1;1;2;1;1;19.295759963650884;-92.20346495316124;15Q;0.0945797367216906;2.717161303613173;78.06075387562005;0.9191274374272502;6.211877420392379;3.1024022078202718;7.295185337591689;13.01432263588534;12.68135549208138;25.659656998574413;17.318907798314502;-25.701804031313515;0.1609819274149221;28.728789038699304;2.691401736142171;7.243643305309094;-32.868332;-14.123;-20.037630595858136;-19.591951;-0.1343173646837513;4.589970487801114;21.0678290788852;-34.86163;9.572723;-16.194960694875775;-16.548512;-0.2834196744456083;3.8426699009823615;0.5474465148378191;DIFF;133529.0;DIFF;0.8082274;0.8325847;0.0945797367217;2.71716130361;OIL SPILL
02 S1A_IW_GRDH_1SDV_20200210T001540_NR_Orb_Cal_TC.tif;0;OS03001GXS1;SENTINEL-1;IW;IMG_02_TILE_006;IMG_02_TILE_006;800;600;800;600;1;1;800;600;0;0;0;0;0;6;1;1;9;2;2;19.408238947841863;-92.09811868995672;15Q;11.72507238785212;138.68753857842475;1640.4362140117678;0.5258813751313831;130.54176614346358;3.152279667238305;7.421981947851007;14.137374513032883;14.225477000885745;-28.6327575996515;-18.24454445633461;28.50159140407555;0.0076603835656782;11.828288473691076;4.137660955643312;17.12023818385513;-59.193592;-14.153567;-23.883393314139475;-23.236519;-0.1732442664750544;3.0051245141177407;9.030773345351388;-64.78499;21.963774;-18.30272076078825;-18.097305;-0.1641900432943237;5.580672553351224;0.6102692922878802;DIFF;13555147000.0;DIFF;0.7663367;0.76519924;11.7250723879;138.687538578;SEEPAGE SLICK
02 S1A_IW_GRDH_1SDV_20200210T001540_NR_Orb_Cal_TC.tif;1;OS03002GXS1;SENTINEL-1;IW;IMG_02_TILE_003;IMG_02_TILE_003;800;600;800;600;1;1;800;600;0;0;0;0;0;3;1;1;9;1;1;19.54447328230484;-92.8980755424068;15Q;0.120650921662185;3.878978478448782;124.71080891033722;1.6748340359873142;9.924170847534478;3.1356809348587147;7.351060550726105;14.252593683990256;14.00349986639513;28.17877869838668;18.190011486606696;-28.48599350395262;0.1007640855203975;32.15042558323488;2.9870468356059443;8.922448798103487;-37.145393;-12.624613;-18.037004743303573;-17.578411;-0.1656065892378787;2.351202829152883;5.528154743816521;-28.75362;-9.04403;-14.744730864537445;-14.533087;-0.1594605456521259;3.292273878766128;0.515686650067037;DIFF;301045.0;DIFF;0.81747127;0.816676;0.120650921662;3.87897847845;SEEPAGE SLICK
02 S1A_IW_GRDH_1SDV_20200210T001540_NR_Orb_Cal_TC.tif;2;OS03003GXS1;SENTINEL-1;IW;IMG_02_TILE_009;IMG_02_TILE_009;800;600;800;600;1;1;800;600;0;0;0;0;0;9;1;1;9;1;1;19.283619499530182;-92.98353218604804;15Q;0.0960713346625067;2.8242629997456343;83.02644612727694;1.0530450339282065;6.607034654254537;3.100145496330619;7.278485176027504;13.26528395110874;12.896387197338544;-25.99492949148853;-16.581826023345418;-26.530324073307977;0.1513538300205614;29.39756181869559;3.0105582628432925;9.063461053974024;-31.11876;-13.364735;-18.67506980895996;-18.366405;-0.1612073364994267;2.459645252100532;6.0498547661806885;-24.557064;-9.15802;-15.007524449190647;-14.829378;-0.1638941359334703;3.6675453597693135;0.5466782823741008;DIFF;119325.5;DIFF;0.8036127;0.8039547;0.0960713346626;2.82426299975;SEEPAGE SLICK
02 S1A_IW_GRDH_1SDV_20200210T001540_NR_Orb_Cal_TC.tif;3;SP00101GXS1;SENTINEL-1;IW;IMG_02_TILE_007;IMG_02_TILE_007;800;600;800;600;1;1;800;600;0;0;0;0;0;7;1;1;9;7;7;19.394136501783272;-92.04909251351864;15Q;0.6815985680057243;9.492618641207915;132.2036355373494;0.645822402590602;10.520431045244258;3.072102381737687;7.270795529863975;13.545466475846228;12.531730909227528;-25.77788296373651;-16.372703885176414;25.67571461482803;0.0950531395243589;13.926993228554135;3.811096021284008;14.5244528834468;-41.48661;-15.4482765;-23.68750644950468;-23.209457;-0.1608905533981902;4.103902331411066;16.842014345761186;-39.408707;7.2303786;-17.787257090336134;-18.122501;-0.2307214828328268;5.900249359168544;0.614398979184409;DIFF;4025132.0;DIFF;0.7509131;0.7608556;0.681598568006;9.49261864122;OIL SPILL
02 S1A_IW_GRDH_1SDV_20200210T001540_NR_Orb_Cal_TC.tif;4;SP00102GXS1;SENTINEL-1;IW;IMG_02_TILE_007;IMG_02_TILE_007;800;600;800;600;1;1;800;600;0;0;0;0;0;7;1;1;9;7;7;19.34728609391036;-92.05198983656707;15Q;0.0652896553708337;1.5818752868015442;38.32658341938976;0.7070335916038974;3.0499326015098784;3.063863777133753;7.250324368686727;13.134255687356829;12.454395956324383;-25.403469097255385;-16.088414946910465;-25.39508537046829;0.3278760978209639;24.228574615944463;3.149289371639484;9.918023546321416;-35.13867;-16.601385;-22.441741592582616;-21.750755;-0.1403317723202186;2.4563513530906538;6.033661969830286;-30.026588;-13.110279;-18.7923778589221;-18.425838;-0.1307099810109685;3.6493637336605143;0.5492253873063468;DIFF;40316.0;DIFF;0.83738506;0.8363136;0.0652896553708;1.5818752868;OIL SPILL
02 S1A_IW_GRDH_1SDV_20200210T001540_NR_Orb_Cal_TC.tif;5;SP00103GXS1;SENTINEL-1;IW;IMG_02_TILE_007;IMG_02_TILE_007;800;600;800;600;1;1;800;600;0;0;0;0;0;7;1;1;9;7;7;19.36411511888792;-92.00920344388186;15Q;0.1508298680663965;3.676507309080216;89.6155792417062;0.6217622650800123;7.131381207180493;3.098215432053844;7.311160469341996;14.221250458192973;14.302949448581836;-29.793474233737307;-18.2590460314732;-28.565809140529016;0.1402252902976373;24.37519409260365;3.9699364908778585;15.760395741603604;-56.399128;-16.049742;-22.966551519745025;-22.217834;-0.1728573176284122;2.773732774392551;7.693593503739398;-32.023018;-7.5110717;-19.037904038761702;-18.860296;-0.1456952807801296;3.928647480983319;0.5003157987378405;DIFF;317830.0;DIFF;0.8289404;0.82545084;0.150829868066;3.67650730908;OIL SPILL
02 S1A_IW_GRDH_1SDV_20200210T001540_NR_Orb_Cal_TC.tif;6;SP00104GXS1;SENTINEL-1;IW;IMG_02_TILE_007;IMG_02_TILE_007;800;600;800;600;1;1;800;600;0;0;0;0;0;7;1;1;9;7;7;19.361711997081365;-92.0371409455546;15Q;0.058530931095295;1.4685794396327103;36.84762108090387;0.5506076951849187;2.932240518101489;3.061620705579424;7.262274240498984;12.714612014913728;11.844473787288738;24.378592987284428;15.627563967165871;24.204476712806965;0.3410361441453174;25.09065569522028;3.9892618900246215;15.914210427202814;-41.46165;-16.473295;-23.6737545698117;-22.869602;-0.1685098947131795;2.5709847395414727;6.6099625309551335;-36.318104;-14.688933;-19.19719944230045;-18.90723;-0.1339249898022304;4.476555127511247;0.6322211924621564;DIFF;22505.0;DIFF;0.8109064;0.80677205;0.0585309310952;1.46857943963;OIL SPILL
02 S1A_IW_GRDH_1SDV_20200210T001540_NR_Orb_Cal_TC.tif;7;SP00105GXS1;SENTINEL-1;IW;IMG_02_TILE_007;IMG_02_TILE_007;800;600;800;600;1;1;800;600;0;0;0;0;0;7;1;1;9;7;7;19.337615266544105;-92.01420861422702;15Q;0.1125771748111301;4.766008738996285;201.77126791729725;0.746759034454011;16.05644733147851;3.1516876330954493;7.407959103859655;14.60671771760243;13.808986666674002;28.08361338185364;17.76683399994623;28.305442983078045;0.0622802777822158;42.33548005616751;3.019659147285705;9.11834136578623;-42.377167;-16.158096;-21.857340494791668;-21.390491;-0.1381530908577487;2.565924985115686;6.583971029240932;-42.025623;-11.625054;-18.991567747539086;-18.761679;-0.1351086450168484;2.8657727472525814;0.4431248793669176;DIFF;1223136.0;DIFF;0.8688874;0.8685327;0.112577174811;4.76600873899;OIL SPILL
